,index,CS Category No.,CS Category One Name,Computer Concepts No.,Parent Category,Computational Concepts,Computer Concept Sub No.,CS Category 3 Lesson,Learning Objective No.,Computational Thinking,Secondary Computational Thinking,Essential Prereq,Voluntary Prereq,Learning Objectives,col1,GCSE,TS,MC,JC,SC,Primary Stage,col2,col3,National Curriculum KS1,National Curriculum KS2,National Curriculum KS3,National Curriculum KS4,AS Level,A Level,Essential Preequisites,Voluntary Prerequisites,Recommended Key Stage Content No.,Recommended Key Stage Content (Text),Python Course,Level Assessment Qs.,Column21,Column22,Column23,Column24,uid,Essential Prereq uid,Voluntary Prereq uid
16,16,GT1,Computer Systems,CS1_6,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_6,Data Representation,,CS1_2_1_1,,Explain a CPU (Central Processing Unit) and its role to process commands.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,94b315d9-0ea5-4d0b-b67b-49c6b5bd913b,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
17,17,GT1,Computer Systems,CS1_7,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_7,Data Representation,,CS1_2_1_6,,Explain that a CPU fetches instruction from the memory.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,3fc87b72-eb9f-4b22-a591-ca09178e1898,94b315d9-0ea5-4d0b-b67b-49c6b5bd913b,
18,18,GT1,Computer Systems,CS1_8,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_8,Data Representation,,CS1_2_1_7,,Explain examples of CPU instructions.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,6fe35bb0-9aa4-44b6-b7a9-31cd6f636517,3fc87b72-eb9f-4b22-a591-ca09178e1898,
19,19,GT1,Computer Systems,CS1_9,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_9,Data Representation,,CS1_2_1_1,,Explain a GPU (Graphical Processing Unit) and its role to process visual elements to a display.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,75336b23-866d-4055-b0fd-09967b6df34e,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
20,20,GT1,Computer Systems,CS1_10,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_10,Data Representation,,CS1_2_1_1,,Explain memory and its role to retain information.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,5e88e8ba-58d8-4d76-a5b8-b7a911b71dd6,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
21,21,GT1,Computer Systems,CS1_11,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_11,Data Representation,,CS1_2_1_1,,Explain an SSD (Solid State Drive) and its role to store data.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,438f8692-4c63-4228-90e6-e4886b6bbb05,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
22,22,GT1,Computer Systems,CS1_12,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_12,Data Representation,,CS1_2_1_1,,Explain an SSD is non-volatile.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,d0aeae79-4832-41d2-b61b-c4889e47044f,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
23,23,GT1,Computer Systems,CS1_13,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_13,Data Representation,,CS1_2_1_1,,Explain that an SSD is a non mechanical storage method.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,36b03569-191c-4e5b-b60f-6e8ee1aee67d,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
24,24,GT1,Computer Systems,CS1_14,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_14,Data Representation,,CS1_2_1_1,,Explain a HDD (Hard Disk Drive) and its role to store data.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,65974174-a483-4bdb-9e3d-7ea846cb6ba6,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
25,25,GT1,Computer Systems,CS1_15,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_15,Data Representation,,CS1_2_1_1,,Explain an HDD is non-volatile.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,f77c78f0-3339-4106-b2d8-bf5052930b92,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
26,26,GT1,Computer Systems,CS1_16,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_16,Data Representation,,CS1_2_1_1,,Explain that an HDD is a mechanical storage method.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,af84f76f-9924-48ca-bf00-32f2538eed83,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
27,27,GT1,Computer Systems,CS1_17,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_17,Data Representation,,"CS1_2_1_11, CS1_2_1_13, CS1_2_1_14, CS1_2_1_15",,Compare and contrast a SSD and HDD as forms of storage.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,b19aea65-200e-48b6-bf14-9ba04b515575,"438f8692-4c63-4228-90e6-e4886b6bbb05,36b03569-191c-4e5b-b60f-6e8ee1aee67d,65974174-a483-4bdb-9e3d-7ea846cb6ba6,f77c78f0-3339-4106-b2d8-bf5052930b92",
28,28,GT1,Computer Systems,CS1_18,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_18,Data Representation,,CS1_2_1_1,,Explain RAM (Random Access Memory) and its role as a temporary but fast data store.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,b1b6caa4-f459-4f95-bc0f-4f666a1ad21d,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
29,29,GT1,Computer Systems,CS1_19,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_19,Data Representation,,CS1_2_1_1,,Explain that RAM (Random Access Memory) is volatile.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,05efc326-b0cf-4048-b91e-1bd519198c23,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
30,30,GT1,Computer Systems,CS1_20,Computer Systems & General Knowledge,Hardware and Software,CS1_2_1,Hardware,CS1_2_1_20,Data Representation,,"CS1_2_1_13, CS1_2_1_15",,Compare and contrast volatile and non- volatile memory.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,1faea0f5-b9df-4d5e-85b8-7e05c9c88e2b,"d0aeae79-4832-41d2-b61b-c4889e47044f,f77c78f0-3339-4106-b2d8-bf5052930b92",
31,31,GT1,Computer Systems,CS1_2,Computer Systems & General Knowledge,Hardware and Software,CS1_2_2,Software,CS1_2_2_1,Decomposition,,CS1_2_1_1,,Explain different uses of software.,,,,,,,,,,,,,,,,,,,,,,,,,,669f5600-ecc3-4828-aaa1-8f98a7b79697,23a55fa4-0a5d-45e3-933c-18ded4d3aee8,
32,32,GT1,Computer Systems,CS1_2,Computer Systems & General Knowledge,Hardware and Software,CS1_2_2,Software,CS1_2_2_2,Decomposition,,CS1_2_2_1,,Describe the use of software in a computer system.,,,,,,,,,,,,,,,,,,,,,,,,,,c754ba44-0ab2-494a-a276-9e09662b2830,669f5600-ecc3-4828-aaa1-8f98a7b79697,
33,33,GT1,Computer Systems,CS1_3,Computer Systems & General Knowledge,Hardware and Software,CS1_3_1,Relationship between Hardware and Software,CS1_3_1_1,Decomposition,,"CS1_2_1_1, CS1_2_1_2, CS1_2_2_1, CS1_2_2_2",,Compare the difference between software and hardware in computer systems.,,,TS5.4,,,,,,,,,,,,,,,,,,,,,,,4ab1589a-e872-4327-b3b1-8e731fe33f43,"23a55fa4-0a5d-45e3-933c-18ded4d3aee8,52c363f9-fb96-43c3-a46f-27582da6868f",
34,34,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_1,Variables Basic Concepts,CT1_1_1_1,Data Representation,,0,0,To understand how computers store information using Variables.,,GCSE19,TS1.1,MC1.1,JC1.1,,,,,NC_KS1_1,,,,,,0,0,,,,,,,,,b051796c-edc4-48cb-82c7-bf42c5c37456,,
35,35,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_1,Variables Basic Concepts,CT1_1_1_2,Data Representation,,CT1_1_1_1,,Recognise the abstract idea of Memory Boxes (variables) to real-life situations.,,GCSE19,TS1.1,MC1.1,JC1.1,,,,,NC_KS1_1,,,,,,,,,,,,,,,,d216c327-9fcd-4ce5-91ba-985ea043c333,b051796c-edc4-48cb-82c7-bf42c5c37456,
36,36,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_1,Variables Basic Concepts,CT1_1_1_3,Data Representation,,CT1_1_1_1,,Explain Variables have a Name and a Value.,,,TS1.1,MC1.1,JC1.1,,,,,NC_KS1_1,,,,,,0,0,,,,,,,,,bbf90f31-2265-45a1-9305-d882c4fa894e,b051796c-edc4-48cb-82c7-bf42c5c37456,
37,37,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_1,Variables Basic Concepts,CT1_1_1_4,Data Representation,,CT1_1_1_3,,Apply a Variable with a Name and a Value.,,,TS1.1,MC1.1,JC1.1,,,,,,,,,,,,,,,,,,,,,77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,bbf90f31-2265-45a1-9305-d882c4fa894e,
38,38,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_1,Variables Basic Concepts,CT1_1_1_5,Data Representation,,CT1_1_1_4,,Explain Variables can only hold one Value at one time.,,,TS1.1,MC1.1,JC1.1,,,,,NC_KS1_2,,,,,,1.1.1.1,,,,,,,,,,f2770698-42db-452c-afa2-5647ce64a66a,77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,
39,39,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_1,Variables Basic Concepts,CT1_1_1_6,Data Representation,,CT1_1_1_4,,"Use assignment operator to assign a value to a variable, for instance variable = expression.",,GCSE19,,MC1.1,JC1.1,,,,,,,,,,,,,,,,,,,,,f857e2a4-8131-4f85-828a-b9a0cc1fd6c9,77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,
40,40,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_2,Variables Basic Concepts,CT1_1_1_7,Data Representation,,"CT1_1_1_4, CT1_1_1_5",,Explain that a Variable Value can be updated using another Variable.,,GCSE19,,MC1.1,JC1.1,,,,,,,,,,,1.1.1.2,,,,,,,,,,c974a7af-e7e5-4fa3-8a77-de3d6a4f3106,"77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,f2770698-42db-452c-afa2-5647ce64a66a",
41,41,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_2,Variables Basic Concepts,CT1_1_1_8,Data Representation,,"CT1_1_1_4, CT1_1_1_7",,"Update a Variable value by another Variable using ""="".",,,TS2.1,MC1.1,JC1.1,,,,,,,,,,,1.1.2.1,,,,,,,,,,d3164118-2075-46c7-8a7d-f818d460e6cb,"77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,c974a7af-e7e5-4fa3-8a77-de3d6a4f3106",
42,42,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_2,Variables Basic Concepts,CT1_1_1_9,Data Representation,,CT1_1_1_1,,Identify a valid variable name.,,GCSE19,,MC1.1,JC1.1,,,,,,,,,,,,,,,,,,,,,02dba053-4042-467d-a8ea-6b451f0178dd,b051796c-edc4-48cb-82c7-bf42c5c37456,
43,43,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_4,Use of Variables,CT1_1_4_1,Algorithms,,"CT1_1_1_6, CT1_6_2_1",,Apply the use of Variables in Conditionals,,,,,,,,,,,,,,,,,,,,,,,,,,3603951d-4ad9-4574-ac45-1005ee98a389,"f857e2a4-8131-4f85-828a-b9a0cc1fd6c9,02be5165-9fe3-480a-92eb-8634626b69b1",
44,44,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_4,Use of Variables,CT1_1_4_2,Algorithms,,"CT1_10_2_1, CT1_1_1_6",CT1_10_2_1,Apply the use of Variables in Loops,,,,,,,,,,,,,,,,,,,,,,,,,,0d787856-8139-4242-8ce6-427e9b576c78,"f857e2a4-8131-4f85-828a-b9a0cc1fd6c9,608c41c6-f6d9-4c4f-8b3f-25c2403b9856",
45,45,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_4,Use of Variables,CT1_1_4_3,Data Representation,,CT1_1_1_6,,Apply the concept of Variables in algebra,Algebra,,,,,,,,,,,,,,,1.1.2.2,,,,,,,,,,c0fe75be-cffb-4f87-b2b3-77c6506b0414,f857e2a4-8131-4f85-828a-b9a0cc1fd6c9,
46,46,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_5,Local Variables,CT1_1_5_1,Data Representation,,CT1_1_1_4,,"Explain that subroutines may declare their own variables, called local variables.",,,,,,,,,,,,,,,,,,,,,,,,,,3b860eea-5243-47cc-91f3-c638955aca85,77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,
47,47,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_5,Local Variables,CT1_1_5_2,Data Representation,,CT1_1_5_1,,Recall that local variables only exist while the subroutine is executing,,GCSE27,,,,,,,,,,,,,,,,,,,,,,,,d5893498-52fe-4fa2-9fb0-39c77b58f4a4,3b860eea-5243-47cc-91f3-c638955aca85,
48,48,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_5,Local Variables,CT1_1_5_3,Data Representation,,CT1_1_5_2,,Explain why local variables are only accessible within the subroutine,,GCSE27,,,,,,,,,,,,,,,,,,,,,,,,1f5b01fe-5764-4bc9-9a50-a073a1a38e36,d5893498-52fe-4fa2-9fb0-39c77b58f4a4,
49,49,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_5,Local Variables,CT1_1_5_4,Data Representation,,CT1_1_5_3,,Use local variables and explain why it is good practice to do so.,,GCSE27,,,,,,,,,,,,,,,,,,,,,,,,8d91f45e-139f-44ac-bd8f-94f513ef58ab,1f5b01fe-5764-4bc9-9a50-a073a1a38e36,
50,50,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_6,Global Variables,CT1_1_6_1,Data Representation,,"CT1_1_1_4, CT1_1_5_1",,Explain that global variables can be visited by all the subroutines in the program,,GCSE27,,,JC4.5,,,AS4_1_1_14_1,AL4_1_1_14_1,,,,,,,,,,,,,,,,,a9935db7-8e47-4d12-8202-a0328eadf6ee,"77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,3b860eea-5243-47cc-91f3-c638955aca85",
51,51,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_6,Global Variables,CT1_1_6_2,Data Representation,,CT1_1_6_1,,"Explain if one subroutine changes a global variable, the new value will be seen by all the subroutines. ",,,,,,,,AS4_1_1_14_1,AL4_1_1_14_1,,,,,,,,,,,,,,,,,edb06891-20f5-4f3a-b59b-a434c290f7a9,a9935db7-8e47-4d12-8202-a0328eadf6ee,
52,52,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_6,Global Variables,CT1_1_6_3,Data Representation,,CT1_1_6_2,,Demonstrate the difference between local variables and global variables.,,,,,,,,AS4_1_1_14_1,AL4_1_1_14_1,,,,,,,,,,,,,,,,,46eeeb40-5861-4fa4-bce9-c14c2a965486,edb06891-20f5-4f3a-b59b-a434c290f7a9,
53,53,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_7,Constants,CT1_1_7_1,Data Representation,,CT1_1_1_4,,Explain that constants are the data that is unlikely to change.,,GCSE19,,,,,,,,,,,,,,,,,,,,,,,,72dc3496-39e3-4ccc-92f4-85229287260d,77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,
54,54,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_7,Constants,CT1_1_7_2,Data Representation,,CT1_1_7_1,,Explain that constants are the opposites of variables.,,GCSE19,,,,,,AS4_1_1_6_1,AL4_1_1_6_1,,,,,,,,,,,,,,,,,910c2de6-0a5c-4a81-94f8-20c2b6d142a0,72dc3496-39e3-4ccc-92f4-85229287260d,
55,55,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_7,Constants,CT1_1_7_3,Data Representation,,CT1_1_7_2,,Demonstrate the advantages of using named constants.,,,,,,,,AS4_1_1_6_2,AL4_1_1_6_2,,,,,,,,,,,,,,,,,8df2e940-38c3-49a8-a203-432a73af43ae,910c2de6-0a5c-4a81-94f8-20c2b6d142a0,
56,56,CT1,Computer Theory,CT1_23,Data Representation,Data Handling,CT1_23_1,Data Types,CT1_23_1_1,Data Representation,,CT1_1_1_4,,Explain that data stored in variables or other data structures is of different types.,,,TS1.1,MC1.1,,,,,,,,,,,,,,,,,,,,,,804e42c1-4cbe-465f-9511-a72f95b8fc73,77a46ef5-6c71-4c8d-97e8-9ead4108e0f1,
57,57,CT1,Computer Theory,CT1_23,Data Representation,Data Handling,CT1_23_1,Data Types,CT1_23_1_2,Data Representation,,CT1_23_1_1,,"Identify typical data types: strings (texts and symbols), integers (whole numbers), floating point numbers (decimals) and Boolean.",,GCSE19,,MC1.1,JC1.6,,,,,,,,,,,,,,,,,,,,,269d7786-5110-4884-91aa-0d40b14ab2e7,804e42c1-4cbe-465f-9511-a72f95b8fc73,
58,58,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_3,Variables Data Types,CT1_1_3_1,Data Representation,,0,,Describe the definition of datatypes,,,,,JC1.1,,,,,,,,,,,1.1.2.2,,,,,,,,,,f6f8c334-19aa-4bcc-9056-01dad8211e10,,
59,59,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_3,Variables Data Types,CT1_1_3_2,Data Representation,,CT1_23_1_2,,"Demonstrate a String (or str or text) is one of four datatypes that is used for a combination of any characters that appear on a keyboard, such as letters, numbers and symbols. ",,,TS4.1,MC1.1,JC1.1,,,,,,,,,,,1.1.2.2,,,,,,,,,,e1bb8a8a-01f9-4758-b1f9-c7d934745564,269d7786-5110-4884-91aa-0d40b14ab2e7,
60,60,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_3,Variables Data Types,CT1_1_3_3,Data Representation,,CT1_1_3_2,,Demonstrate how to count characters in a string,,,TS4.1,,,,,,,,,,,,,1.1.2.2,,,,,,,,,,c7c7339a-97c6-4ac4-bb69-081df2434594,e1bb8a8a-01f9-4758-b1f9-c7d934745564,
61,61,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_3,Variables Data Types,CT1_1_3_4,Data Representation,,CT1_23_1_2,,Demonstrate that an Integer (or Int) is one of four datatypes that is used for whole numbers,,,,MC1.1,JC1.1,,,,,,,,,,,,,,,,,,,,,a729d12e-d7c9-4462-b18d-7603a4e8f66c,269d7786-5110-4884-91aa-0d40b14ab2e7,
62,62,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_3,Variables Data Types,CT1_1_3_5,Data Representation,,CT1_23_1_2,,"Demonstrate that a Float (or Real) is one of four datatypes that is used for numbers that contain decimal points, or for fractions.",,,,MC1.1,JC1.1,,,,,,,,,,,,,,,,,,,,,41a8e62b-58ad-4eaa-b9cb-d1aca990d158,269d7786-5110-4884-91aa-0d40b14ab2e7,
63,63,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_3,Variables Data Types,CT1_1_3_6,Data Representation,,CT1_23_1_2,,Demonstrate a Boolean (or Bool) is one of four datatypes where data is restricted to True/False or Yes/No options.,,,,MC1.1,JC1.1,,,,,,,,,,,,,,,,,,,,,c3c3fbd7-4243-4c28-a641-0f45f7dfdc99,269d7786-5110-4884-91aa-0d40b14ab2e7,
64,64,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_8,Variable Casting,CT1_1_8_1,Data Representation,,CT1_1_3_1,,Explain the concept of variable casting by converting a variable to different datatype,,,,,,,,,,,,,,,,,,,,,,,,,,ba7e3777-d520-4871-a0ed-fffaee9bbbd7,f6f8c334-19aa-4bcc-9056-01dad8211e10,
65,65,CT1,Computer Theory,CT1_1,Programming Fundamentals,Variables,CT1_1_8,Variable Casting,CT1_1_8_2,Data Representation,,"CT1_1_8_1, CT1_1_3_2, CT1_1_3_4",,Demonstrate convertion from a float or a String to an Integer,,,,,JC6.6,,,,,,,,,,,,,,,,,,,,,cbd9e097-65ef-4a3b-b954-db73f4cbc3e1,"ba7e3777-d520-4871-a0ed-fffaee9bbbd7,e1bb8a8a-01f9-4758-b1f9-c7d934745564,a729d12e-d7c9-4462-b18d-7603a4e8f66c",
